"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Assistant Officer (AO)","28016","31471","Borders & Trade, Assistant Officer","<5","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Assistant Officer (AO)","28016","31471","Borders & Trade, Assistant Officer","<5","Other","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 6 (6)","71725","87612","Borders & Trade, Grade 6","<5","Government Statistical Service Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 6 (6)","71725","87612","Borders & Trade, Grade 6","<5","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 6 (6)","71725","87612","Borders & Trade, Grade 6","<5","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 6 (6)","71725","87612","Borders & Trade, Grade 6","<5","Operational Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 6 (6)","71725","87612","Borders & Trade, Grade 6","<5","Operational Delivery Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 6 (6)","71725","87612","Borders & Trade, Grade 6","<5","Project Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Digital, Data and Technology Professions","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Operational Delivery Profession","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Operational Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Other","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Project Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Project Delivery Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","<5","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","7.43","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","<5","Operational Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","<5","Operational Delivery Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","<5","Other","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","<5","Project Delivery Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Higher Officer (HO)","37682","46077","Borders & Trade, Higher Officer","<5","Project Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Officer (O)","31096","37919","Borders & Trade, Officer","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Officer (O)","31096","37919","Borders & Trade, Officer","<5","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Officer (O)","31096","37919","Borders & Trade, Officer","<5","Operational Delivery Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Officer (O)","31096","37919","Borders & Trade, Officer","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Government Finance Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Government Tax Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Government Tax Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","5.8","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Operational Delivery Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Other","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Policy Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Project Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1082","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Project Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1085","Grade 6 (6)","71725","87612","Borders & Trade, Grade 6","<5","Operational Delivery Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1085","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1085","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1085","Grade 7 (7)","58541","72711","Borders & Trade, Grade 7","<5","Operational Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1085","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1085","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1085","Senior Officer (SO)","45544","55157","Borders & Trade, Senior Officer","<5","Project Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1086","Assistant Officer (AO)","28016","31471","Borders & Trade, Assistant Officer","16.09","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1086","Assistant Officer (AO)","28016","31471","Borders & Trade, Assistant Officer","<5","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1086","Assistant Officer (AO)","28016","31471","Borders & Trade, Assistant Officer","<5","Policy Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","OD1086","Grade 6 (6)","71725","87612","Borders & Trade, Grade 6","<5","Digital, Data and Technology Professions","North East"
