"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD101","John-Paul Marks","SCS4","Chief Executive and First Permanent Secretary.","Chief Executive and First Permanent Secretary.","HM Revenue and Customs","HM Revenue and Customs","Permanent Secretary Office","0300 200 3300","contactUs@hmrc.gov.uk","XX","1451816","1.00","200000","200000","","Operational Delivery Profession","Scotland","nan","1.00"
"OD102","Angela MacDonald","SCS4","Second Permanent Secretary","Second Permanent Secretary","HM Revenue and Customs","HM Revenue and Customs","Permanent Secretary Office","0300 200 3300","contactUs@hmrc.gov.uk","OD101","620403","1.00","180000","180000","","Operational Delivery Profession","Yorkshire and The Humber","Reporting To Costs Escalated to OD101","1.00"
"OD103","Myrtle Lloyd","SCS3","Director General Customer Services Group","Director General Customer Services Group","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD102","1452298","1.00","150000","150000","","Other","North West","nan","1.00"
"OD105","Justin Holliday","SCS3","Chief Finance Officer","Chief Finance Officer","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD101","6991158","1.00","190000","190000","","Government Finance Profession","London","nan","1.00"
"OD106","Penny Ciniewicz","SCS3","Director General Customer Compliance Group","Director General Customer Compliance Group","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD102","3500494","1.00","160000","160000","","Operational Delivery Profession","London","nan","1.00"
"OD107","Daljit Rehal","SCS3","Director General Chief Digital & Information Officer","Director General Chief Digital & Information Officer","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD101","2049550","1.00","205000","205000","","Digital, Data and Technology Professions","London","nan","1.00"
"OD108","Helen Pickles","SCS3","Chief People Officer","Chief People Officer","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD101","2530493","1.00","160000","160000","","Human Resources Profession","Yorkshire and The Humber","nan","1.00"
"OD109","Jonathan Athow","SCS3","Director General Customer Strategy & Tax Design","Director General Customer Strategy & Tax Design","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD101","1495948","1.00","150000","150000","","Other","London","nan","1.00"
"OD110","Alan Evans","SCS3","General Counsel & Solicitor","General Counsel & Solicitor","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD101","460232","1.00","160000","160000","","Government Legal Profession","London","Reporting To Costs Escalated to OD101","1.00"
"OD112","N/D","SCS1","Deputy Director Borders Customer & Design","Deputy Director Borders Customer & Design","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD705","4222643","0.92","N/A","N/A","","Policy Profession","North West","nan","1.00"
"OD113","N/D","SCS1","Deputy Director Tax credits and Child Benefit Policy","Deputy Director Tax credits and Child Benefit Policy","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD369","2031292","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
